1120 S;Unknown;1120S1.EXE;0;Best Programs
Lotus 1-2-3;Unknown;123.EXE;0;Lotus Development
Lotus 1-2-3;2.2;123.EXE;15392;Lotus Development
Lotus 1-2-3;2.3;123.EXE;18368;Lotus Development
Lotus 1-2-3;3.0;123.EXE;54805;Lotus Development
Lotus 1-2-3;3.1;123.EXE;84847;Lotus Development
Lotus 1-2-3 G;Unknown;123G.EXE;0;Lotus Development
Lotus 123;Unknown;123w.exe;0;IBM
Lotus 1-2-3 For Windows;Unknown;123W.EXE;0;Lotus Development
Lotus 1-2-3 97 Application;Unknown;123w.exe;0;Lotus Development Corporation
Lotus 1-2-3 97 For Windows;6.0.9702.1002;123w.exe;10752;Lotus Development
Lotus 1-2-3 For Windows;6.0.9702.1002;123w.exe;10752;Lotus Development
Lotus 1-2-3 97 Application;6.0.9702.1002;123w.exe;10752;Lotus Development Corporation
Lotus 1-2-3 97 For Windows;5.0.0.544;123W.EXE;109136;Lotus Development
Lotus 1-2-3 For Windows;5.0.0.544;123W.EXE;109136;Lotus Development
Lotus 1-2-3 97 Application;5.0.0.544;123W.EXE;109136;Lotus Development Corporation
ChessMaster 2100;Unknown;2100.EXE;0;Electronic Arts
WinOnCD CD Recording Software für Windows 95 und W;WinOnCD Main Application;3,7,0,572;0;Roxio
386Max;Unknown;386MAX.COM;0;Qualitas Inc.
TFTP Server;Unknown;3CTftpSvc.exe;0;3Com
TFTP Server Administration;Unknown;3CTftpSvcCtrl.exe;0;3Com
3Deep Control;0;3Deepctl.exe;0;E-Color, Inc. formerly Sonnetech Ltd.
7-Zip Console version;Unknown;7z.exe;0;Igor Pavlov
7-Zip Console version;2, 30, 17, 0;7z.exe;112128;Igor Pavlov
7-Zip Console version (Alone);Unknown;7za.exe;0;Igor Pavlov
7-Zip Console version (Alone);2, 30, 17, 0;7za.exe;567296;Igor Pavlov
7-Zip Console version (Alone);Unknown;7zan.exe;0;Igor Pavlov
7-Zip Console version (Alone);2, 30, 17, 0;7zan.exe;497664;Igor Pavlov
7-Zip Console version;Unknown;7zn.exe;0;Igor Pavlov
7-Zip Console version;2, 30, 17, 0;7zn.exe;109568;Igor Pavlov
Alpha Three;Unknown;A3MAIN.EXE;0;Alpha Software
Alpha Four;Unknown;A4.EXE;0;Alpha Software
AAI;Unknown;AAI_STRT.EXE;0;Creative Systems Interfac
Animator;Unknown;aaplay.exe;0;AutoDesk
ABC Flowchart;Unknown;ABC.EXE;0;Micrografx
Above Disc;Unknown;ABOVE.EXE;0;Above Software
AutoCAD;Unknown;acad.exe;0;AutoDesk
AutoCAD;13;acad.exe;5654016;AutoDesk
AutoCAD 2000;21.0.0.0;acad.exe;6868992;AutoDesk
AutoCAD Application;2002;acad.exe;7389246;AutoDesk
AutoCAD;14;acad.exe;7624192;AutoDesk
Pfs: Access;Unknown;ACCESS.WEL;0;Software Publishing Corp.
Accumail;Unknown;ACCUMAIL.EXE;0;Group 1 Software
ACDSee 32 for Windows 95/NT;Unknown;ACDSee32.exe;0;ACD Systems, Ltd.
ACDSee 32 for Windows 95/NT;3, 1, 0, 0;ACDSee32.exe;676352;ACD Systems, Ltd.
ACDSee 32 for Windows 95/NT;2, 2, 2, 0;ACDSee32.exe;965632;ACD Systems, Ltd.
ACE;Unknown;ace.exe;0;ACE Gmbh
Ace File;Unknown;ACEFILE.EXE;0;Ace Software Corporation
Accuret;Unknown;ACFORHD.COM;0;Intuit
AutoCAD LT;Unknown;aclt.exe;0;AutoDesk
Acnap;Unknown;ACNAP.COM;0;Bv Engineering Software
Acrobat;Unknown;Acrobat.exe;0;Adobe Corp.
Portable Document Format;Unknown;Acrobat.exe;0;Adobe Corp.
Acrobat;4.05;Acrobat.exe;2999808;Adobe Corp.
Portable Document Format;4.05;Acrobat.exe;2999808;Adobe Corp.
Adobe Acrobat 5.0;5.0.0.2001032200;Acrobat.exe;5230652;Adobe Corp.
Acrobat Catalog;Unknown;acrocat.exe;0;Adobe Corp.
Acrobat Distiller;Unknown;acrodist.exe;0;Adobe Corp.
Acrobat ® Distiller ®;5.0.0.0;AcroDist.exe;118890;Adobe Corp.
Acrobat ® Distiller ®;4.0.500;AcroDist.exe;137216;Adobe Corp.
Acrobat;Unknown;acroexch.exe;0;Adobe Corp.
Acrobat Reader;Unknown;acrord32.exe;0;Adobe Corp.
Acrobat Reader;3.0;AcroRd32.exe;2263552;Adobe Corp.
Portable Document Format;4.0.000;AcroRd32.exe;2297344;Adobe Corp.
Acrobat Reader;4.0;acrord32.exe;2316288;Adobe Corp.
Acrobat Reader;3.0;AcroRd32.exe;2318848;Adobe Corp.
Portable Document Format;3.0.000;AcroRd32.exe;2318848;Adobe Corp.
Acrobat Reader;4.5;acrord32.exe;2333184;Adobe Corp.
Portable Document Format;4.05;AcroRd32.exe;2333696;Adobe Corp.
Acrobat reader;4.0;AcroRd32.exe;2334208;Adobe Corp.
Acrobat Reader;4.01;AcroRd32.exe;2334208;Adobe Corp.
Acrobat Reader;4.05;AcroRd32.exe;2334208;Adobe Corp.
Portable Document Format;4.05;AcroRd32.exe;2334208;Adobe Corp.
Acrobat Reader;5.0;acrord32.exe;3870784;Adobe Corp.
Acrobat Reader;5.0.1.2001032700;AcroRd32.exe;3870784;Adobe Corp.
Acrobat Reader;5.0.5;AcroRd32.exe;3891268;Adobe Corp.
Acrobat Reader 5.0;5.0.5.2001092400;AcroRd32.exe;3891268;Adobe Corp.
Acrobat Reader;Unknown;ACROREAD.EXE;0;Adobe Corp.
Acrobat Reader 16 bits;Unknown;ACROREAD.EXE;0;Adobe Corp.
Access Guard;Unknown;ACS_MAT.COM;0;Commcrypt
PRF Generator for AutoCAD;2000;acsubmit.exe;159744;eQuorum
PRF Generator for AutoCAD;2002;acsubmit.exe;207266;eQuorum
Act!;Unknown;ACT.EXE;0;Interact Commerce Corporation
ACT! 5.0 Application;Unknown;act.exe;0;Interact Commerce Corporation
Act;Unknown;ACT.EXE;0;Symantec Corp.
Act!;Unknown;ACT.EXE;0;Symantec Corp.
Act!;4.0.2.358;ACT.EXE;3247616;Interact Commerce Corporation
Act!;4.0.2.358;ACT.EXE;3247616;Symantec Corp.
ACT! 4.0 Application;4.0.2.358;ACT.EXE;3247616;Symantec Corp.
ACT!;5.0.2.353;act.exe;5275693;Interact Commerce Corporation
ACT! 5.0 Application;5.0.2.353;act.exe;5275693;Interact Commerce Corporation
ACT!;5.0.4.495;act.exe;5509165;Interact Commerce Corporation
ACT! 5.0 Application;5.0.4.495;act.exe;5509165;Interact Commerce Corporation
ACT! 2000 Data Diagnostic Tool v5.0.2.;5.00.2000;actdiag.exe;716800;Interact Commerce Corporation
SideWinder Profile Activator;3.02.391;Activator.exe;72704;Microsoft Corp.
SideWinder Profile Activator;3.02.391;Activator.exe;72704;Microsoft Corporation
Actor;Unknown;ACTOR.EXE;0;Whitewater Group
Act! For Windows;Unknown;ACTWIN.EXE;0;Interact Commerce Corporation
Act For Windows;Unknown;ACTWIN.EXE;0;Symantec Corp.
After Dark;Unknown;AD.EXE;0;Berkely Systems
Ad-aware;Unknown;Ad-aware.exe;0;LavaSoft
Ad-aware;5.0.6.20;Ad-aware.exe;337408;LavaSoft
Advanced DB Master;Unknown;ADBM.EXE;0;Macon Systems
Advanced DB Master 4;Unknown;ADBM4.EXE;0;Macon Systems
Architectual Desktop;3.3;adt.arg;4934;AutoDesk
Personal Organizer;Unknown;ADVANTAG.EXE;0;Microlytics
AfterDark for Windows 3.0;Unknown;ADW30.EXE;0;Berkely Systems
ADW Cnstrctn Worksta;Unknown;ADWAWS.EXE;0;Knowledgeware
Cad Overlay;2002;AeciQuickBarUi22.arx;45056;AutoDesk
Allclear;Unknown;AEDIT.EXE;0;Clear Software
AutoFlix;Unknown;afega.exe;0;AutoDesk
CA Lab;Unknown;afegap.exe;0;AutoDesk
Lotus Agenda;Unknown;AGENDA.EXE;0;Lotus Development
Agent for Windows;Unknown;agent.exe;0;Dazler Software Inc.
Agent for Windows;1.9;agent.exe;2850336;Dazler Software Inc.
Leisure Suit Larry;Unknown;AGI.EXE;0;Sierra On-line
Atlas GIS/Win;Unknown;AGISW.EXE;0;Strategic Mapping
AIA;Unknown;aia97.exe;0;American Institute Of Architects
Illustrator;Unknown;aicon.exe;0;Adobe Corp.
AOL Instant Messenger (SM);Unknown;aim.exe;0;America Online (AOL)
AOL Instant Messenger (SM);Unknown;aim.exe;0;America Online, Inc
Spry Mosaic WWW Browser;Unknown;AIRMOS.EXE;0;Compuserve
Albacs;Unknown;ALBACS.EXE;0;Albany Software
ALBACS.EXE;Unknown;ALBACS.EXE;1229280;Albany Software
Album Generator;1.54.0.0;albumgen.exe;147456;Creative Technology Ltd
Investor Returns Rater;Unknown;ALCARIRR.EXE;0;The Alcar Group
The Merger Planner;Unknown;ALCARTMP.EXE;0;The Alcar Group
The Strategy Planner;Unknown;ALCARTSP.EXE;0;The Alcar Group
The Value Planner;Unknown;ALCARTVP.EXE;0;The Alcar Group
Alchemy Server Data Collector;2.2.0.17;AlchemyDLLServer.exe;1035776;CommSoft Group Ltd.
Algebra;Unknown;ALGEBRA.EXE;0;True Basic
Lotus Ami;Unknown;AMI.EXE;0;Lotus Development
Lotus Amipro;Unknown;AMIPRO.EXE;0;Lotus Development
Amplayer.exe;Unknown;Amplayer.exe;47104;Unknown
Alliance Mfg;v2.x;AMSMFG.EXE;0;Alliance Manufacturing
APPMeter;Unknown;AMSUPER.EXE;0;Funk Software
Analyzer Applicazione MFC;1.0.0.1;Analyzer.exe;917504;Freeware
Analyzer Applicazione MFC;1, 0, 0, 1;Analyzer.exe;1335296;Freeware
Animation Shop;Unknown;anim.exe;0;Jasc Software, Inc.
Animation Shop;3.04 Release;anim.exe;3072000;Jasc Software, Inc.
Virus Killer;Unknown;ANSAT.EXE;0;American Ansat
PCanywhere;Unknown;ANYWHERE.EXE;0;Dynamic Microprocessor Association
AOLSETUP.EXE;Unknown;AOLSETUP.EXE;0;America Online (AOL)
Applause;Unknown;ap.exe;0;Borland/Inprise
Algebra Plus;Unknown;AP2A.EXE;0;Stone & Associates
Apache;Unknown;Apache.exe;0;Apache Group
Apache;1.3.24;apache.exe;20480;Apache
Lotus Approach;Unknown;APPROACH.EXE;0;Lotus Development
Lotus Approach Application;Unknown;approach.exe;0;Lotus Development Corporation
Lotus Approach;N9.5.9904.2802;approach.exe;2889216;Lotus Development
Lotus Approach Application;N9.5.9904.2802;approach.exe;2889216;Lotus Development Corporation
Lotus Approach;97.00;approach.exe;3785728;Lotus Development
Approach(TM) for Windows(TM) executable\0;97.00;approach.exe;3785728;Lotus Development Corporation
Arclist;Unknown;ARCLIST.EXE;0;Group 1 Software
ARCserve Mgr/Server;Unknown;ARCSERVE.EXE;0;Cheyenne Software
ARCserve Server;Unknown;arcserve.exe;0;Computer Associates
ARCserve Solo;Unknown;ARCSOLO.EXE;0;Cheyenne Software
ARCserve Solo;Unknown;arcsolo.exe;0;Computer Associates
Advanced Revelation;Unknown;AREV.EXE;0;Revelation Technologies
Argyle;Unknown;ARGLINK.EXE;0;Articulate Publications
Arithmetic;Unknown;ARITH.EXE;0;True Basic
Arkanoid;Unknown;ARKANOID.COM;0;Broderbund Software
Automap;Unknown;ARPRXB24.EXE;0;AutoMap
AutoRoute Plus/Win;Unknown;ARPW.EXE;0;NextBase
Ascom IV;Unknown;ASCOM4.EXE;0;Dynamic Microprocessor Association
Asmflow;Unknown;ASMFLOW.EXE;0;Quantasm Corporation
Arcserve Manager;;Asmgr.exe;720896;Computer Associates
Asmtool;Unknown;ASMTOOL.EXE;0;V Communications
Procomm Plus Windows;Unknown;ASPCOMPW.EXE;0;Datastorm Technologies
Picture Publisher Plus;Unknown;ASTRAL.EXE;0;Micrografx
Athletes Edge;Unknown;ATHEDGE.EXE;0;H. Sys Co.
Type Manager;Unknown;atmcntrl.exe;0;Adobe Corp.
Arc Tangent Prof.;Unknown;ATPM.EXE;0;Arc Tangent Software
ASUS Tweak Safe Mode Recovery Program;0;atsafe.exe;0;ASUSTeK Computer Inc.
ASUS Tweak Safe Mode Recovery Program;Unknown;atsafe.exe;0;ASUSTeK Computer Inc.
ASUS Tweak Startup Program;2.00;atstart.exe;49152;3Com
ASUS Tweak Startup Program;2.00;atstart.exe;49152;ASUSTeK Computer Inc.
Automatic LiveUpdate Module;1.62.17.0;AUPDATE.EXE;172032;Symantec Corp.
AutoIt;2, 61, 0, 0;AutoIt.exe;40968;Hiddensoft
Automenu;Unknown;AUTOMENU.COM;0;Magee
AutoRoute Executable;Unknown;AutoRout.exe;0;Microsoft Corp.
Microsoft AutoRoute Executable;Unknown;AutoRout.exe;0;Microsoft Corp.
AutoRoute Executable;08.00.15.1001;AutoRout.exe;2580534;Microsoft Corp.
Microsoft AutoRoute Executable;08.00.15.1001;AutoRout.exe;2580534;Microsoft Corp.
AutoRoute Executable;09.00.15.3100;AutoRout.exe;3866684;Microsoft Corp.
Microsoft AutoRoute Executable;09.00.15.3100;AutoRout.exe;3866684;Microsoft Corp.
AutoRoute Express Europe 98;06.00.07.1600;AutoRoute Express EUR 98.exe;16896;Microsoft Corp.
Microsoft AutoRoute Express Europe 98;06.00.07.1600;AutoRoute Express EUR 98.exe;16896;Microsoft Corp.
AutoRoute Express Great Britain 2000;07.00.23.1201;AutoRoute Express GB 2000.exe;28672;Microsoft Corp.
Microsoft AutoRoute Express Great Britain 2000;07.00.23.1201;AutoRoute Express GB 2000.exe;28672;Microsoft Corp.
AutoTurn;3;AUTOTURN.EXE;0;AutoMap
AutoTurn;4;AUTOTURN4.dll;0;AutoMap
Avast32 Main Executable;Unknown;avast32.exe;0;Alwil Software
Avast32 Antivirus Client;Unknown;avast32.exe;0;AWIL Software
Avast32 Main Executable;3, 0, 419, 6;avast32.exe;24576;Alwil Software
VirusScan 3.1.8;Unknown;AVCONSOLE.EXE;135168;McAfee
Virus Scan 3.1.8;Unknown;AVCONSOLE.EXE;135168;Network Associates
Avery Wizard;Unknown;averywiz.exe;0;Avery Dennison
Avery Wizard;180.110.0014;AVERYWIZ.EXE;774144;Avery Dennison
Avast32 e-Mail Scanner Service;Unknown;avmaisrv.exe;0;Alwil Software
Avast32 e-Mail Antivirus Service;Unknown;avmaisrv.exe;0;AWIL Software
Avast32 e-Mail Scanner Service;3, 0, 419, 6;avmaisrv.exe;167936;Alwil Software
KAV Scanner main module;Unknown;Avp32.exe;0;Kaspersky Labs.
KAV Scanner main module;3.6.1.25;Avp32.exe;356416;Kaspersky Labs.
Avast32 Server;Unknown;avserver.exe;0;Alwil Software
Avast32 Antivirus Server;Unknown;avserver.exe;0;AWIL Software
Avast32 Server;3, 0, 419, 6;avserver.exe;245760;Alwil Software
Gateway Module;Unknown;AWGATE.EXE;0;Symantec Corp.
Gateway Module;8.0;AWGATE.EXE;97792;Symantec Corp.
pcAnywhere Host;Unknown;AWHOST.EXE;0;Symantec Corp.
pcAnywhere Host Module;Unknown;AWHOST.EXE;0;Symantec Corp.
Host Module;Unknown;AWHOST32.EXE;0;Symantec Corp.
pcAnywhere Host Module;Unknown;AWHOST32.EXE;0;Symantec Corp.
Host Module;7.50;AWHOST32.EXE;109056;Symantec Corp.
pcAnywhere Host Module;7.50;AWHOST32.EXE;109056;Symantec Corp.
Alpha Works;Unknown;AWORKS.EXE;0;Alpha Software
pcAnywhere Remote Networking Module;Unknown;AWRAS32.EXE;0;Symantec Corp.
Remote Networking Module;Unknown;AWRAS32.EXE;0;Symantec Corp.
pcAnywhere Remote Networking Module;7.50;AWRAS32.EXE;46592;Symantec Corp.
Remote Networking Module;7.50;AWRAS32.EXE;46592;Symantec Corp.
pcAnywhere Remote Control Module;Unknown;AWREM32.EXE;0;Symantec Corp.
Remote Control Module;Unknown;AWREM32.EXE;0;Symantec Corp.
pcAnywhere Remote Control Module;8.02;AWREM32.EXE;77824;Symantec Corp.
Remote Control Module;8.02;AWREM32.EXE;77824;Symantec Corp.
pcAnywhere Remote;Unknown;AWREMOTE.EXE;0;Symantec Corp.
Above X;Unknown;AXUIDOS.EXE;0;Above Software
BAR-ONE 6.0 application file;6.00.00;B1Print.exe;20480;Teklynx International Co.
Backit;Unknown;BACKIT.EXE;0;Gazelle Systems
just!burn;3, 0, 0, 64;backmeup.exe;1015808;CeQuadrat
Payrite for Windows - BACSTEL;1997.01r01;bacs.exe;838240;Rutherford Webb plc
Baler Spreadsheet Compiler;Unknown;BALE.EXE;0;Baler Software
Banner Builder;Unknown;BANNER.EXE;0;Power Up Software
BarTender;Unknown;Bartend.EXE;0;Seagull Scientific, Inc
BarTender;6.12.544.96;Bartend.EXE;2932736;Seagull Scientific, Inc
BarTender Enterprise Edition;6.20.778.142;Bartend.EXE;3383296;Seagull Scientific, Inc
Business Basic Compiler;Unknown;BASCOM.COM;0;Microsoft Corp.
Microsoft Business Basic Compiler;Unknown;BASCOM.COM;0;Microsoft Corp.
Application MFC CsBatcher;1, 0, 0, 1;Batcher.exe;49152;Teklynx International Co.
GUI based batch file creator;0;Batchrun.exe;0;Outer Technologies
Basic Compiler;Unknown;BC61.LIB;0;Microsoft Corp.
Microsoft Basic Compiler;Unknown;BC61.LIB;0;Microsoft Corp.
BoiseCascade Calc;Unknown;bccalc.exe;0;Boise Cascade
Bounds Checker for Windows;Unknown;BCHKW.EXE;0;Nu-Mega Technologies
Borland;Unknown;bdeadmin.exe;0;Borland/Inprise
Database Engine;5.0;Bdeadmin.exe;994816;Borland/Inprise
Bedford Accounting;Unknown;BEDFORD.EXE;0;Bedford Software
Super PC-Kwik;Unknown;BENCHPCK.EXE;0;PC-Kwik
Colorado Backup II;Unknown;bewin32.exe;0;Hewlett Packard
Beyond Compare for Windows;1.9.4.0;Beyond32.exe;1012736;Scooter Software
Quicken For Windows;Unknown;BILLMIND.EXE;0;Intuit
BIND DNS Server Administration;Unknown;BINDCtrl.exe;0;Internet Software Consortium
BindView;Unknown;BINDVIEW.EXE;0;The LAN Support Group
CBM Binlabel;Unknown;binlabel.bat;0;Cooper Building Materials
Bios Pre-processor;Unknown;BIOSP.EXE;0;V Communications
BioWin;Unknown;biowinnt.exe;0;EnviroSim Associates
BitCom for Windows;Unknown;BITCOM.EXE;0;ATR
Biz Base;Unknown;BIZBASE.EXE;0;Creagh Computer Systems
Beacher Tools;Unknown;BKTOOLS.EXE;0;Abacus
Backup Exec;Unknown;bkupexec.exe;0;Veritas Softwares
Backup Exec 7.0;Unknown;BKUPEXEC.EXE;2326704;Veritas Softwares
Druckprogramm für Barcode-Labels;Unknown;BLabel.exe;0;Stephan Geg, Birkach 4c, 85664 Hohenlinden
Druckprogramm für Barcode-Labels;1.00.0001;BLabel.exe;65536;Stephan Geg, Birkach 4c, 85664 Hohenlinden
BLabel RegistryEintrag;0;BLabelReg.exe;0;Hiddensoft
Building Electrical;2;BldElec.arg;2460;AutoDesk
Building Mechanical;2;BldMech.arg;2088;AutoDesk
Blinker;Unknown;BLINKER.EXE;0;Blink
My Phonebook;Unknown;BOOK.EXE;0;My Software
Bridge;Unknown;BRIDGE.COM;0;Fifth Generation Systems
Bringback;Unknown;BRINGBAK.EXE;0;Parsons Technology
Bank Street Writer Plus;Unknown;BSW.EXE;0;Broderbund Software
Btrieve;Unknown;BTRIEVE.EXE;0;Novell
Battery Watch;Unknown;BW.COM;0;Traveling Software
Beyond Word Writer;Unknown;BWORD.EXE;0;Timeworks
C Compiler;Unknown;C1L.EXE;0;Microsoft Corp.
Microsoft C Compiler;Unknown;C1L.EXE;0;Microsoft Corp.
Drafix Windows Cad;Unknown;CAD.EXE;0;Foresight Resources Corp.
CADKEY;Unknown;CADKEY.EXE;0;Cadkey
Design Editor Loader;4.5;cadstar.exe;11264;Zuken
Drafix Windows CAD;Unknown;CAF.EXE;0;Foresight Resources Corp.
Cricket Image;Unknown;CAIMAGE.EXE;0;Computer Associates
Cricket Paint;Unknown;CAPAINT.EXE;0;Computer Associates
Container;2.00.046;CardPhone2.0.exe;750592;Nokia Mobile Phones Ltd.
CA-RET;Unknown;CARET.EXE;0;Computer Associates
Where In Europe Is Carmen Sandiego;Unknown;CARMEN.EXE;0;Broderbund Software
nFX Cartoon-O-Matic (TM);2, 0, 0, 1;CARTOON.EXE;750080;nFX Corporation
Cashbiz;Unknown;CASHBIZ.EXE;0;M USA Business Systems
Up Your Cashflow;Unknown;CASHFLOW.EXE;0;Granville Software
Cashtrac;Unknown;CASHTRAC.EXE;0;Brown Bag Software
CA Simply Money 2.0;Unknown;CASM2RUN.EXE;0;Computer Associates
CA Simply Money;Unknown;CASMMAIN.EXE;0;Computer Associates
Visual Realia;Unknown;CAVR.EXE;0;Computer Associates
Visual Express;Unknown;CAVXPRSS.EXE;0;Computer Associates
Realia II Workbench;Unknown;CAWBMAIN.EXE;0;Computer Associates
Netmeeting;Unknown;cb32.exe;0;Microsoft Corp.
My Checkbook;Unknown;CBOOK.EXE;0;My Software
IBM(R) DB2(R);Unknown;cc390ve.exe;0;IBM Corporation
IBM(R) DB2(R);0;cc390ve.exe;0;International Business Machines Corporation
Lotus cc:Mail Mobile;Unknown;CCBKGRND.EXE;0;IBM
Lotus cc:Mail Mobile;Unknown;CCBKGRND.EXE;0;Lotus Development
C-clearly;Unknown;CCL.EXE;0;V Communications
Lotus cc:Mail;Unknown;CCMAIL.EXE;0;IBM
Lotus cc:Mail;Unknown;CCMAIL.EXE;0;Lotus Development
WP Office CCMail Gtwy;Unknown;CCML.EXE;0;Novell Apps Group
Calendar Creator Plus;Unknown;CCPLUS.EXE;0;Power Up Software
Concurrent DOS;Unknown;CCPM.SYS;0;Digital Research
Carbon Copy/Windows;Unknown;CCWIN.EXE;0;Microcom
CD Copier;Unknown;CdCopier.exe;0;Adaptec
Adaptec CD Copier;5.2.0.61;CDCopier.exe;98391;Roxio
CD-RW Eraser;Unknown;CDEraser.exe;0;Adaptec
CD-RW Eraser;2.5d (296);CDEraser.exe;50688;Adaptec
CD-RW Eraser Application;2.5d (296);CDEraser.exe;50688;Adaptec
Choreographer;Unknown;CDEV.EXE;0;Guidance Technologies
dBpowerAMP Music Converter - Audio CD Input;Unknown;CDGrab.exe;0;Illustrate
CDSpeed MFC Application;0, 8, 5, 0;CDSpeed.exe;458752;Ahead Software
Castlevania;Unknown;CEGA.EXE;0;Konami
Streamline;Unknown;cent&out.dir;0;Adobe Corp.
cent;4.21;cent.exe;37888;STEF-TFE
User Application Configuration Program;2.2.0.37;Central.exe;2925568;CommSoft Group Ltd.
Security Config Wizard for NT;Unknown;CfgWiz.exe;0;NT Tools
Security Config Wizard for NT;2, 0, 1, 20;CfgWiz.exe;676864;NT Tools
Security Config Wizard for NT;2, 0, 1, 20;CfgWiz.exe;676864;Unknown
Skychase;Unknown;CGACHASE.EXE;0;Broderbund Software
Atlas Explorer;Unknown;CGARWN.COM;0;Spinnaker Software Corp.
Correct Grammar;Unknown;CGRAMMAR.EXE;0;Lifetree Software
Chairman;Unknown;CHAIRMAN.EXE;0;Dynamic Microprocessor Association
Charisma;Unknown;CHARISMA.EXE;0;Micrografx
Charisma 4.0;Unknown;CHARM40.EXE;0;Micrografx
Chart;Unknown;CHART.COM;0;Microsoft Corp.
Microsoft Chart;Unknown;CHART.COM;0;Microsoft Corp.
CHECK MFC Application;2, 2, 0, 6;check.exe;534016;CeQuadrat
Ckeckcite;Unknown;CHECKCIT.EXE;0;Jurisoft
Check-It!;Unknown;CHECKIT.EXE;0;Touchstone
Check-It! LAN;Unknown;CHECKLAN.EXE;0;Touchstone
Cheops Pyramid;Unknown;cheops.exe;0;Unknown
Chipendale;Unknown;CHIP1.EXE;0;True Basic
Checks & Balances;Unknown;CHKS&BAL.CNF;0;CDE Software
Compuserve Info Mgr;Unknown;CIM.EXE;0;Compuserve
CIPP;Unknown;cipp.exe;0;CIPP
CIS;Unknown;cis.bat;0;True Value
Citerite;Unknown;CITERITE.EXE;0;Jurisoft
Visual C++;Unknown;cl.exe;0;Microsoft Corp.
Visual C++;6.0 SP3;cl.exe;51200;Microsoft Corp.
Visual C++;6.0 SP5;cl.exe;65536;Microsoft Corp.
Visual C++;1.52;cl.exe;91648;Microsoft Corp.
Clan2000;4.0.0.3;Clan2000.exe;7048704;Initial City Link
Professional Developer;Unknown;clarion.exe;0;Clarion
Virus Fix Utility;Unknown;CLEAN.EXE;0;McAfee
Virus Fix Utility;Unknown;CLEAN.EXE;0;Network Associates
ClickNet;Unknown;CLICKNET.EXE;0;ClickNet
Clipper;Unknown;CLIPPER.EXE;0;Computer Associates
CloneCD;Unknown;CloneCD.exe;0;Elaborate Bytes
CloneCD;2, 8, 4, 3;CloneCD.exe;75782;Elaborate Bytes
CloneCD;3.3.4.1;CloneCD.exe;430080;Elaborate Bytes
CloneCD Replicator Program;3.3.4.1;CloneCD.exe;430080;Elaborate Bytes
Clout;Unknown;CLOUT.EXE;0;Microrim
ClarisWorks/Win;Unknown;CLWORKS.EXE;0;Claris Corporation
Calendarmaker;Unknown;CMAKER.EXE;0;CE Software
Command Post;Unknown;CMDPOST.EXE;0;Wilson WindowWare
Commander;Unknown;Cmdr.exe;0;Seagull Scientific, Inc
Commander;2.00.108;Cmdr.exe;172032;Seagull Scientific, Inc
Colin McRae Rally 2;Unknown;CMR2.exe;0;Codemasters Software Ltd
CNE Quiz;Unknown;CNEQUIZR.EXE;0;CNE Quiz
IBM Cobol Compiler;Unknown;COBCOMP.COM;0;IBM Corporation
Cobol Compiler;Unknown;COBOL.EXE;0;Microsoft Corp.
Microsoft Cobol Compiler;Unknown;COBOL.EXE;0;Microsoft Corp.
CoGo Classic;Unknown;cogoclsc.exe;0;Bentley
Colorforms;Unknown;COLORFRM.EXE;0;Gryphon Software Corp
Comanche;Unknown;comanche.exe;0;Apache Group
Comenius 2000 ECDL;Unknown;comenius.exe;0;Comenius
Comparerite;Unknown;COMPARE.COM;0;Jurisoft
Inno Setup Compiler;3.0.6b;Compil32.exe;528896;InnoSetup
Microsoft Mouse;Unknown;COMSP.EXE;0;Microsoft Corp.
Mouse;Unknown;COMSP.EXE;0;Microsoft Corp.
Coneuc;Unknown;CONEUC.EXE;0;Holt Software Associates
Content Copier User Interface Module for PC Suite;Unknown;ContentCopier.exe;0;Nokia Mobile Phones Ltd.
Content Copier User Interface Module for PC Suite;4, 15, 0, 3;ContentCopier.exe;4145152;Nokia Mobile Phones Ltd.
Context;0.97.2a;ConTEXT.exe;523776;Context
Convert;Unknown;convert.exe;0;Joshua F. Madison
Copy II PC;Unknown;COPYIIPC.EXE;0;Central Point Software
Draw;8.0;coreldraw.exe;11801600;Corel Corp.
Draw !;Unknown;coreldrw.exe;0;Corel Corp.
Draw;10.0;coreldrw.exe;49152;Corel Corp.
Draw;9.0;coreldrw.exe;13819904;Corel Corp.
Flow !;Unknown;corelflw.exe;0;Corel Corp.
Photo-Paint;Unknown;corelpnt.exe;0;Corel Corp.
Trace;Unknown;coreltrc.exe;0;Corel Corp.
Ventura;Unknown;corelvp.exe;0;Corel Corp.
Who What When;Unknown;COREWWW.EXE;0;Chronos Software
Crmix GI;Unknown;cormix-gi.exe;0;Cormix
Infinium Payroll;Unknown;cortdir.exe;0;Infinium
Cover Designer;2, 1, 0, 8;CoverDes.exe;1695744;Ahead Software
Central Point Anti-Virus;Unknown;CPAV.EXE;0;Central Point Software
RealTime Monitor;Unknown;cprtm.exe;0;Check Point Software Technologies
Axiom File Fixer;Unknown;cpuid.exe;0;Bentley
First Aid;Unknown;CRASHTST.EXE;0;CyberMedia
Adaptec Create CD;4.02e (310);createcd.exe;262144;Adaptec
Easy CD;Unknown;Creatr32.exe;0;Adaptec
Easy CD Creator;Unknown;Creatr32.exe;0;Adaptec
Roxio EasyCDCreator;5.2.0.61;Creatr50.exe;946267;Roxio
